ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
IBKR,66.7000,0.422653,-0.139997,-0.053325,-0.063661,0.106666,0.143552,0.188550,26666.46,35888.01,47137.48,-0.006818,1.471449,0.340304,0.261576
LIT,68.9700,0.375215,-0.139028,-0.086148,-0.091392,0.094158,0.126434,0.165556,23539.51,31608.43,41389.12,0.040742,0.565112,0.385495,0.291859
DLR,176.1900,0.234231,-0.136882,-0.136594,-0.078513,0.055399,0.072562,0.091707,13849.83,18140.61,22926.74,0.136490,0.236314,0.453154,0.308033
MKTX,186.1100,0.296598,0.136584,0.080960,0.022575,0.072749,0.096766,0.125027,18187.26,24191.41,31256.68,0.046935,-0.083094,0.340968,0.418063
COMT,31.4850,0.262303,-0.136417,-0.071078,-0.060389,0.063197,0.083426,0.106626,15799.29,20856.53,26656.61,0.265068,0.372173,0.440930,0.319321
WTS,306.1600,0.277731,-0.135544,-0.079904,-0.042964,0.067491,0.089419,0.114883,16872.78,22354.72,28720.73,0.100736,0.508071,0.440024,0.319688
WES,41.7100,0.245083,-0.134776,-0.093738,-0.071928,0.058411,0.076755,0.097457,14602.82,19188.86,24364.34,0.050101,0.423835,0.445364,0.315469
GDXJ,136.1700,0.765485,0.133682,0.076498,0.026246,0.191889,0.257502,0.336717,47972.19,64375.41,84179.34,0.202915,2.960499,-0.021547,0.093493
FANG,180.5400,0.300382,-0.133034,-0.063222,-0.032952,0.073804,0.098241,0.127067,18451.12,24560.35,31766.74,0.192196,0.049438,0.435178,0.323409
RS,303.2600,0.267825,-0.131171,-0.060850,-0.040283,0.064733,0.085569,0.109577,16183.35,21392.35,27394.34,0.029285,-0.027515,0.435979,0.324081
ALB,162.2900,0.650177,-0.129115,-0.029397,-0.050909,0.164062,0.220748,0.289767,41015.44,55186.89,72441.78,0.127562,0.371505,0.155616,0.092057
COIN,197.2200,1.035699,-0.128582,-0.014594,0.016779,0.254286,0.338397,0.437202,63571.59,84599.16,109300.51,-0.166195,-0.187124,0.032657,-0.032657
S,14.1900,0.538207,0.128096,0.113192,0.062096,0.136275,0.183623,0.241549,34068.78,45905.87,60387.25,-0.030738,-0.477155,0.145092,0.275517
VTV,200.0300,0.109049,-0.127726,-0.066868,-0.040772,0.021142,0.025442,0.028438,5285.49,6360.48,7109.46,0.037446,0.321437,0.437946,0.325868
DT,39.2800,0.506602,0.125207,0.100759,0.073750,0.128280,0.172860,0.227415,32070.09,43214.88,56853.70,-0.072491,-0.161580,0.171148,0.298729
PICK,57.3700,0.415489,-0.125061,-0.048278,-0.062309,0.104792,0.140996,0.185132,26198.07,35249.00,46282.90,0.095684,0.508868,0.341354,0.271878
EWJ,84.7700,0.249964,-0.124671,-0.084386,-0.094841,0.059767,0.078644,0.100051,14941.76,19661.03,25012.74,0.042297,0.271437,0.443645,0.317025
SBAC,196.5800,0.293777,-0.124189,-0.076230,-0.074606,0.071963,0.095666,0.123507,17990.63,23916.52,30876.78,0.021301,-0.063125,0.439509,0.319625
SOYB,24.4100,0.104593,-0.123426,0.037012,-0.002287,0.019957,0.023851,0.026391,4989.31,5962.83,6597.83,0.118698,-0.006512,0.417435,0.346368
URBN,64.0600,0.349518,-0.122091,-0.037438,-0.024368,0.087270,0.116945,0.152700,21817.38,29236.35,38175.03,-0.149721,0.527420,0.387864,0.330328
USO,108.7700,0.492247,-0.121994,-0.074172,-0.062092,0.124625,0.167925,0.220911,31156.26,41981.25,55227.78,0.577291,0.465310,0.283997,0.208330
WOOD,73.4300,0.210108,-0.121931,-0.064505,-0.042747,0.048718,0.063279,0.079018,12179.59,15819.76,19754.42,0.007823,-0.040358,0.435399,0.326533
APA,32.6800,0.403374,-0.121334,-0.072705,-0.049791,0.101612,0.136651,0.179309,25402.98,34162.72,44827.26,0.300898,0.166466,0.352451,0.280014
ALLE,150.3700,0.359324,0.121122,0.090250,0.062061,0.089909,0.120586,0.157644,22477.19,30146.59,39410.97,-0.065503,0.165707,0.291383,0.411431
GNRC,204.0200,0.643064,-0.119896,-0.078039,-0.040785,0.162320,0.218433,0.286784,40579.95,54608.21,71696.03,0.445925,0.794213,0.165053,0.093536
AR,38.8300,0.450569,-0.118875,-0.128507,-0.059200,0.113920,0.153424,0.201707,28480.00,38355.95,50426.66,0.135048,0.466390,0.323807,0.233977
IONS,74.0400,0.337477,0.118003,0.070776,0.041788,0.084009,0.112437,0.146559,21002.27,28109.25,36639.85,-0.070666,0.657488,0.314700,0.413273
DBC,27.5100,0.263410,-0.117593,-0.053030,-0.051519,0.063505,0.083856,0.107217,15876.24,20963.88,26804.37,0.228674,0.346852,0.432611,0.327602
KWEB,29.7100,0.217677,-0.115287,-0.050814,-0.066687,0.050812,0.066186,0.082984,12703.09,16546.49,20746.05,-0.166152,0.308799,0.433965,0.327740
SIL,101.2300,0.783936,0.114802,0.067524,0.018772,0.196272,0.263253,0.343993,49068.01,65813.31,85998.35,0.219492,3.130174,-0.028689,0.072724
IRM,105.1800,0.372386,-0.114636,-0.118066,-0.079559,0.093404,0.125397,0.164156,23351.00,31349.35,41039.11,0.263575,0.383349,0.385264,0.296615
RRC,41.4900,0.361411,-0.114230,-0.114434,-0.053790,0.090469,0.121358,0.158690,22617.23,30339.55,39672.55,0.175354,0.287300,0.390834,0.308630
CLF,9.8300,0.849448,-0.112999,0.003526,-0.034162,0.211687,0.283398,0.369323,52921.75,70849.57,92330.76,-0.277206,-0.530339,0.031137,-0.030917
GDX,101.3800,0.694916,0.112828,0.062204,0.021722,0.174949,0.235177,0.308293,43737.22,58794.25,77073.17,0.182550,2.489197,0.039901,0.139320
BXP,52.9400,0.392914,-0.111973,-0.108688,-0.094537,0.098854,0.132876,0.174238,24713.44,33218.97,43559.52,-0.219404,-0.067660,0.368304,0.280804
VIRT,41.0100,0.368918,-0.110816,-0.082291,-0.013661,0.092478,0.124124,0.162435,23119.56,31031.08,40608.81,0.265251,1.280675,0.375129,0.312301
QQQ,599.7500,0.168631,-0.110496,-0.010150,-0.017701,0.037292,0.047476,0.057597,9323.05,11869.01,14399.19,-0.021806,0.361261,0.422431,0.340597
SPY,672.3800,0.117724,-0.110421,-0.016385,-0.016445,0.023461,0.028570,0.032494,5865.26,7142.39,8123.40,-0.015794,0.338362,0.423606,0.340191
DECK,104.2500,0.590125,-0.108827,0.044007,0.064568,0.149259,0.201024,0.264250,37314.71,50256.08,66062.59,-0.023785,-0.314798,0.174211,0.165913
VNO,26.9400,0.390318,-0.107345,-0.109448,-0.077372,0.098167,0.131935,0.172973,24541.83,32983.83,43243.20,-0.194619,0.076499,0.367612,0.285631
AMT,188.5900,0.311543,-0.107122,-0.099577,-0.059514,0.076903,0.102567,0.133034,19225.82,25641.76,33258.54,0.078890,-0.014218,0.427696,0.321594
SM,25.9700,0.536420,-0.106281,0.003722,-0.000746,0.135825,0.183018,0.240756,33956.23,45754.58,60189.07,0.357554,-0.383276,0.227781,0.195608
MSTR,133.5300,1.146113,-0.106051,-0.049100,-0.026879,0.278716,0.369478,0.474685,69679.08,92369.50,118671.26,-0.150356,0.027138,0.036566,-0.036566
AWI,168.2400,0.358661,-0.105933,-0.088400,-0.075457,0.089731,0.120341,0.157311,22432.70,30085.27,39327.81,-0.143631,0.397147,0.389229,0.314650
PDBC,16.3800,0.262153,-0.104650,-0.043901,-0.051664,0.063155,0.083368,0.106546,15788.86,20841.99,26636.60,0.233434,0.324394,0.428042,0.332214
ROIV,28.7800,0.673443,-0.104527,-0.081592,-0.055931,0.169738,0.228279,0.299451,42434.54,57069.72,74862.83,0.312358,1.581166,0.139979,0.072052
BNO,43.9500,0.422379,-0.103055,-0.062696,-0.055658,0.106594,0.143454,0.188419,26648.54,35863.58,47104.83,0.555752,0.459163,0.331891,0.270423
TTC,99.4700,0.181189,0.102224,0.084394,0.063202,0.040742,0.052235,0.064017,10185.42,13058.65,16004.37,0.240738,0.166154,0.346828,0.415899
VRNS,24.3900,0.802188,0.099361,0.017093,0.016035,0.200590,0.268909,0.351129,50147.53,67227.30,87782.34,-0.238764,-0.514530,-0.029008,0.048132
HOOD,77.0900,0.856815,-0.098857,-0.063052,-0.038463,0.213406,0.285637,0.372123,53351.50,71409.21,93030.67,-0.330874,3.712102,0.038018,-0.038018
ESAB,107.7900,0.448152,-0.093874,-0.062489,-0.024025,0.113295,0.152574,0.200577,28323.63,38143.53,50144.24,-0.042462,0.084272,0.306042,0.255553
EXAS,103.5000,0.025456,-0.092899,0.009811,-0.000002,0.001338,0.000851,0.000337,334.56,212.72,84.13,0.017299,0.684022,0.409928,0.346422
CFLT,30.7700,0.032210,-0.091398,-0.041555,0.003519,0.002464,0.001915,0.001070,616.07,478.64,267.60,0.021920,-0.075421,0.417918,0.340456
SF,73.1500,0.365604,0.091124,0.075253,0.063522,0.091592,0.122905,0.160785,22898.04,30726.24,40196.31,-0.140900,0.507213,0.295949,0.396791
XLY,114.4400,0.151071,-0.090933,0.032221,0.012277,0.032489,0.040874,0.048744,8122.31,10218.40,12185.93,-0.033038,0.286217,0.408367,0.355022
BTBT,1.6200,1.005827,-0.090725,-0.032788,-0.044401,0.247573,0.329796,0.426715,61893.26,82449.00,106678.68,-0.205882,-0.304721,0.032040,-0.032040
CRS,387.1100,0.483674,0.088624,0.050468,0.005652,0.122434,0.164964,0.217001,30608.62,41240.95,54250.19,0.144802,4.712721,0.212587,0.293170
MAS,63.6600,0.389977,-0.087282,-0.043715,-0.052579,0.098077,0.131812,0.172806,24519.25,32952.90,43201.57,-0.008337,-0.145851,0.350529,0.303258
BITF,2.0400,1.138837,-0.085257,-0.027885,-0.038132,0.277125,0.367464,0.472276,69281.23,91865.95,118069.07,-0.215385,-0.187251,0.029310,-0.029310
HLI,151.1100,0.316851,0.084349,0.032215,0.034524,0.078368,0.104607,0.135839,19591.95,26151.66,33959.75,-0.139925,0.252090,0.346336,0.398561
UFPI,93.9400,0.286579,-0.083833,-0.062035,-0.052956,0.069956,0.092862,0.119634,17489.03,23215.51,29908.53,0.022671,-0.162746,0.425256,0.334139
STLD,181.6100,0.415374,-0.083560,-0.036327,-0.043146,0.104762,0.140955,0.185077,26190.55,35238.74,46269.17,0.031523,0.411887,0.327361,0.286053
REXR,36.0300,0.276149,-0.083165,-0.045514,-0.037347,0.067050,0.088804,0.114035,16762.62,22200.91,28508.63,-0.076864,-0.253678,0.421237,0.338531
SQM,70.3900,0.586438,-0.081648,-0.039922,-0.053168,0.148342,0.199799,0.262658,37085.62,49949.86,65664.55,0.009465,0.510806,0.194628,0.151194
CRWD,428.9900,0.645701,0.081237,0.073285,0.026835,0.162966,0.219292,0.287891,40741.52,54822.96,71972.87,-0.054213,0.301231,0.083285,0.171256
NCNO,16.8200,0.643584,0.080437,0.072417,0.030617,0.162447,0.218602,0.287003,40611.84,54650.61,71750.69,-0.317647,-0.416782,0.084862,0.172929
INDA,49.9900,0.168382,0.080006,0.064561,-0.005307,0.037224,0.047382,0.057470,9306.01,11845.53,14367.58,-0.083761,-0.037069,0.362362,0.400672
XLB,49.8600,0.206835,-0.079699,-0.034361,-0.036039,0.047814,0.062024,0.077307,11953.42,15506.01,19326.83,0.081093,0.152248,0.419697,0.342331
VWO,54.4700,0.181812,-0.079369,-0.035022,-0.066838,0.040913,0.052471,0.064337,10228.23,13117.79,16084.35,-0.008374,0.382890,0.423135,0.339576
NTRA,198.1300,0.430002,-0.079223,0.054772,0.028275,0.108582,0.146164,0.192038,27145.59,36540.97,48009.44,-0.134199,1.161575,0.293888,0.296363
KRC,29.8100,0.394906,-0.078385,-0.099126,-0.092400,0.099380,0.133596,0.175207,24844.96,33399.10,43801.71,-0.215939,-0.076808,0.356673,0.289263
DVN,44.4800,0.278228,-0.077866,-0.027848,-0.022690,0.067629,0.089612,0.115149,16907.35,22402.99,28787.31,0.174545,0.031286,0.415760,0.343934
XLK,137.2900,0.251957,-0.077835,-0.027684,-0.027047,0.060321,0.079416,0.101111,15080.17,19853.92,25277.76,-0.048579,0.321671,0.416618,0.343986
IREN,36.7000,1.224645,-0.077675,-0.061937,-0.024706,0.295731,0.390919,0.500145,73932.68,97729.77,125036.34,-0.140515,5.847015,0.031180,-0.031180
EEM,57.3200,0.244319,-0.076795,-0.022482,-0.052462,0.058199,0.076460,0.097052,14549.75,19114.95,24262.89,0.019203,0.471041,0.418246,0.342612
TLT,88.4600,0.085911,-0.076765,-0.092181,-0.097432,0.015054,0.017337,0.018157,3763.59,4334.15,4539.36,0.019811,0.000013,0.434544,0.329021
HUT,47.0700,1.196531,-0.076168,-0.045486,-0.050455,0.289674,0.383306,0.491144,72418.48,95826.54,122785.92,-0.081919,5.097150,0.030910,-0.030910
BILL,45.0600,1.112342,0.074477,0.058252,0.051475,0.271308,0.360089,0.463432,67826.96,90022.19,115858.04,-0.108782,-0.313946,-0.032505,0.032505
