# SUMMARY
ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,thesis,rec_alloc_pct
IWN,190.4100,0.183661,-0.061390,-0.025453,-0.023520,HEDGE (negative BTC correlation),0.2807

# STRIKE LADDER
strike,moneyness,put_1mo_pct,put_1mo_price,put_3mo_pct,put_3mo_price,put_6mo_pct,put_6mo_price,put_9mo_pct,put_9mo_price,put_12mo_pct,put_12mo_price
190.4100,ATM,0.026331,5.0136,0.041422,7.8871,0.053174,10.1249,0.060357,11.4927,0.065289,12.4316
180.8895,5% OTM,0.003938,0.7498,0.014174,2.6989,0.024839,4.7295,0.032260,6.1426,0.037779,7.1935
171.3690,10% OTM,0.000308,0.0587,0.003956,0.7533,0.010422,1.9845,0.015973,3.0413,0.020564,3.9156
161.8485,15% OTM,0.000009,0.0017,0.000817,0.1555,0.003765,0.7169,0.007136,1.3588,0.010333,1.9676
152.3280,20% OTM,0.000000,0.0000,0.000113,0.0214,0.001116,0.2125,0.002790,0.5313,0.004688,0.8926

# PORTFOLIO SIZING
alloc_pct,notional,shares,atm_3m_put,hedge_cost,hedge_port_pct,net_exposure
0.0500,50000.00,262.5912,7.8871,2071.09,0.002071,47928.91
0.1000,100000.00,525.1825,7.8871,4142.18,0.004142,95857.82
0.1500,150000.00,787.7737,7.8871,6213.27,0.006213,143786.73
0.2000,200000.00,1050.3650,7.8871,8284.37,0.008284,191715.63
0.2500,250000.00,1312.9562,7.8871,10355.46,0.010355,239644.54
0.3000,300000.00,1575.5475,7.8871,12426.55,0.012427,287573.45
0.4000,400000.00,2100.7300,7.8871,16568.73,0.016569,383431.27
0.5000,500000.00,2625.9125,7.8871,20710.91,0.020711,479289.09

# BUDGET-CONSTRAINED SIZING
hedge_budget_pct,budget_dollar,max_alloc_pct,max_notional,max_shares
0.0050,5000.00,0.120709,120709.30,633.9441
0.0100,10000.00,0.241419,241418.60,1267.8882
0.0150,15000.00,0.362128,362127.90,1901.8323
0.0200,20000.00,0.482837,482837.20,2535.7764
0.0300,30000.00,0.724256,724255.80,3803.6647
0.0500,50000.00,1.207093,1207093.00,6339.4411
